,,,,
,,Nota,Média das vezes ,O que significa
,Mapeamento de Riscos - Ansiedade/Depressão/Burnout,Neutro,0 a 25%,Neutro
,,Leve,26% a 50%,"Episódios que geram essas emoções e pensamentos que não necessariamente tenham impacto em suas atividades, mas ocasionalmente afetam seu bem-estar. "
,,Moderado,51% a 75%,"Sentimento persistente que afeta a motivação e o bem-estar, podendo influenciar o humor por dias e semanas. "
,,Agudo,76% a 100%,"Sentimento intenso e profundo acompanhado que podem desencadear ou não sentimentos correlacionados, afetando a qualidade de seus relacionamentos, suas ocupações, qualidade de vida e bem-estar.  "
,,,,
,Mapeamento Carga de Trabalho,1,0 a 20%,Muito Leve
,,2,21% a 40%,Leve
,,3,41% a 60%,Média
,,4,56% a  80%,Alta
,,5,81% a 100%,Muito Alta
,,,,
,Mapeamento Carga de Trabalho,Nunca,0 a 20%,Muito Leve
,,Raramente,21% a 40%,Leve
,,Às vezes,41% a 60%,Média
,,Frequentemente,56% a  80%,Alta
,,Sempre,81% a 100%,Muito Alta
,,,,
,Sinais de Alerta,Nunca,0 a 20%,Muito Leve
,,Raramente,21% a 40%,Leve
,,Às vezes,41% a 60%,Média
,,Frequentemente,56% a 80%,Alta
,,Sempre,81% a 100%,Muito Alta
,,,,
,Diagnóstico de Clima - Relacionamento,"1 a 2,4",Atenção,
,,"2,5 a 3,4",Zona de Alerta,
,,"3,5 a 5",Ambiente Saudável,
,,,,
,Comunicação,"1 a 2,4",Atenção,
,,"2,5 a 3,4",Zona de Alerta,
,,"3,5 a 5",Ambiente Saudável,
,,,,
,Relação com a Liderança,"1 a 2,4",Atenção,
,,"2,5 a 3,4",Zona de Alerta,
,,"3,5 a 5",Ambiente Saudável,
